aah	a a h
ada	a d a
adalah	a d a l a h
agak	a g a k
agenda	a g e n d a
agendamu	a g e n d a m u
aja a j a
akan	a k a n
akhir	a kh i r
aku a k u
algoritma	a l g o r i t m a
alhamdulilah	a l h a m d u l i l a h
aman	a m a n
analis	a n a l i s
angka	a ng k a
apa	a p a
apakah	a p a k a h
api	ei p i ai
asik	a s i k
atau	a t au
atur	a t u r
awal	a w a l
awalnya	a w a l ny a
badan	b a d a n
bagus	b a g u s
bahas	b a h a s
baik	b ai k
bandung	b a n d u ng
banget	b a ng e t
bantuan	b a n t u a n
banyak	b a ny a k
bareng	b a r e ng
baru	b a r u
basis	b a s i s
beberapa	b e b e r a p a
belanja	b e l a n j a
belum	b e l u m
benar	b e n a r
berhasil	b e r h a s i l
berikan	b e r i k a n
berlaku	b e r l a k u
bersangkutan	b e r s a ng k u t a n
besar	b e s a r
betul	b e t u l
biar	b i a r
biasa	b i a s a
bikin	b i k i n
bilang	b i l a ng
bisa	b i s a
boleh	b o l e h
buat	b u a t
bukti	b u k t i
buntu	b u n t u
cantumkan	c a n t u m k a n
cari	c a r i
case	k ei s
cek	c e k
coba	c o b a
cukup	c u k u p
cuma	c u m a
daerah	d a e r a h
dalam	d a l a m
dan	d a n
dapet	d a p e t
dari	d a r i
data	d a t a
deh	d e h
demo	d e m o
dengan	d e ng a n
desain	d i s ai n
desainnya	d i s ai n ny a
di	d i
dibagian	d i b a g i a n
dibahas	d i b a h a s
dibeli	d i b e l i
diberikan	d i b e r i k a n
dibikin	d i b i k i n
dibuat	d i b u a t
dicek	d i c e k
diceritakan	d i c e r i t a k a n
dievaluasi	d i e v a l u a s i
diganti	d i g a n t i
dihubungkan	d i h u b u ng k a n
dikerjakan	d i k e r j a k a n
dilakukan	d i l a k u k a n
dilanjutkan	d i l a n j u t k a n
diliat	d i l i a t
dilihat	d i l i h a t
dimana	d i m a n a
dimasukkan	d i m a s u k a n
dipercepat	d i p e r c e p a t
diselesaikan	d i s e l e s ai k a n
diserahkan	d i s e r a h k a n
disini	d i s i n i
diskusi	d i s k u s i
ditembak	d i t e m b a k
dua	d u a
dulu	d u l u
efisien	e f i s i e n
empat	e m p a t
engga	e ng g a
error	e r o r
errornya	e r o r ny a
estimasi	e s t i m a s i
fiksasi	f i k s a s i
fiksasinya	f i k s a s i ny a
fitur	f i t u r
fungsinya	f u ng s i ny a
ga	g a
gagal	g a g a l
gak	g a k
ganti	g a n t i
gede	g e d e
gimana	g i m a n a
gitu	g i t u
habis	h a b i s
halaman	h a l a m a n
halo	h a l o
hampir	h a m p i r
hanya	h a ny a
harap	h a r a p
hari	h a r i
harus	h a r u s
harusnya	h a r u s ny a
hasil	h a s i l
hasilnya	h a s i l ny a
hehe	h e h e
implementasi	i m p l e m e n t a s i
implementasikan	i m p l e m e n t a s i k a n
informasi	i n f o r m a s i
ingin	i ng i n
inginnya	i ng i n ny a
ini	i n i
istirahat	i s t i r a h a t
itu	i t u
iya	i y a
jadi	j a d i
jadwal	j a d w a l
jadwalnya	j a d w a l ny a
jalan	j a l a n
jam	j a m
jangan	j a ng a n
jauh	j au h
juga	j u g a
jumat	j u m a t
kak	k a
kakak	k a k a
kalau	k a l au
kalender	k a l e n d e r
kalo	k a l o
kamu	k a m u
kan	k a n
karena	k a r e n a
karna	k a r n a
kasih	k a s i h
ke	k e
kebetulan	k e b e t u l a n
kebutuhan	k e b u t u h a n
kecil	k e c i l
kegiatanmu	k e g i a t a n m u
kejar	k e j a r
keluarga	k e l u a r g a
kemarin	k e m a r i n
kemungkinan	k e m u ng k i n a n
kenapa	k e n a p a
kendala	k e n d a l a
keren	k e r e n
kerja	k e r j a
kerjakan	k e r j a k a n
ketemu	k e t e m u
khusus	kh u s u s
kira	k i r a
kita	k i t a
kode	k o d e
kok	k o
komponen	k o m p o n e n
kosong	k o s o ng
ku	k u
lagi	l a g i
lain	l ai n
lakukan	l a k u k a n
lancar	l a n c a r
langsung	l a ng s u ng
lanjut	l a n j u t
laporan	l a p o r a n
layarnya	l a y a r ny a
lebih	l e b i h
lengkap	l e ng k a p
lewat	l e w a t
liat	l i a t
libur	l i b u r
liburan	l i b u r a n
liburannya	l i b u r a n ny a
lima	l i m a
lupa	l u p a
macet	m a c e t
makan	m a k a n
makasih	m a k a s i h
maklum	m a k l u m
malam	m a l a m
mana	m a n a
mantep	m a n t e p
masalah	m a s a l a h
masalahnya	m a s a l a h ny a
masih	m a s i h
masing	m a s i ng
masuk	m a s u k
masukkan	m a s u k k a n
matahari	m a t a h a r i
matang	m a t a ng
mau	m au
memang	m e m a ng
memberi	m e m b e r i
memudahkan	m e m u d a h k a n
menampilkan	m e n a m p i l k a n
mengerjakan	m e ng e r j a k a n
mengganti	m e ng g a n t i
meninggalkan	m e n i ng g a l k a n
menjadi	m e n j a d i
menu	m e n u
menunggu	m e n u ng g u
menurutku	m e n u r u t k u
menyampaikan	m e ny a m p ai k a n
menyelesaikan	m e ny e l e s ai k a n
mereka	m e r e k a
merupakan	m e r u p a k a n
meski	m e s k i
minggu	m i ng g u
minta	m i n t a
molor	m o l o r
mu	m u
muncul	m u n c u l
mungkin	m u ng k i n
nah	n a h
nanti	n a n t i
navigasi	n a v i g a s i
navigasinya	n a v i g a s i ny a
nemu	n e m u
ngapain	ng a p ai n
nih	n i h
nya	ny a
oh	o h
oiya	oi y a
oke	o k e
oleh	o l e h
orang	o r a ng
padat	p a d a t
padet	p a d e t
pagi	p a g i
paham	p a h a m
paling	p a l i ng
pangalengan	p a ng a l e ng a n
para	p a r a
parah	p a r a h
pasti	p a s t i
pegunungannya	p e g u n u ng a n ny a
pekerjaan	p e k e r j a a n
pekerjaannya	p e k e r j a a n ny a
pemandangan	p e m a n d a ng a n
pembayaran	p e m b a y a r a n
pembetulannya	p e m b e t u l a n ny a
pemeriksaan	p e m e r i k s a a n
pemetaan	p e m e t a a n
penasaran	p e n a s a r a n
penemuan	p e n e m u a n
pengecekan	p e ng e c e k a n
pengembang	p e ng e m b a ng
pengembangan	p e ng e m b a ng a n
pengembangnya	p e ng e m b a ng ny a
pengerjaan	p e ng e r j a a n
pengerjaannya	p e ng e r j a a n ny a
pengguna	p e ng g u n a
penting	p e n t i ng
penyebab	p e ny e b a b
penyebabnya	p e ny e b a b ny a
perbaikan	p e r b ai k a n
perbelanjaan	p e r b e l a n j a a n
perencanaan	p e r e n c a n a a n
pergi	p e r g i
perjalanannya	p e r j a l a n a n ny a
permintaan	p e r m i n t a a n
persen	p e r s e n
pertama	p e r t a m a
pertemuan	p e r t e m u a n
pertemuannya	p e r t e m u a n ny a
perubahan	p e r u b a h a n
pikirannya	p i k i r a n ny a
pilih	p i l i h
prioritas	pr i o r i t a s
prioritasnya	pr i o r i t a s ny a
produk	pr o d u k
puluh	p u l u h
pusat	p u s a t
ragu	r a g u
ramai	r a m ai
rasa	r a s a
rencana	r e n c a n a
repo	r e p o
representasi	r e pr e s e n t a s i
rupanya	r u p a ny a
saat	s a a t
sabtu	s a b t u
saja	s a j a
sama	s a m a
sambil	s a m b i l
sampai	s a m p ai
satu	s a t u
sebelum	s e b e l u m
sebenarnya	s e b e n a r ny a
sebenernya	s e b e n e r ny a
sebuah	s e b u a h
sedikit	s e d i k i t
seger	s e g e r
segi	s e g i
sekalian	s e k a l i a n
sekarang	s e k a r a ng
selalu	s e l a l u
selama	s e l a m a
selamat	s e l a m a t
selanjutnya	s e l a n j u t ny a
selebihnya	s e l e b i h ny a
selesai	s e l e s ai
selesaikan	s e l e s ai k a n
semangat	s e m a ng a t
semoga	s e m o g a
sempat	s e m p a t
sempet	s e m p e t
semua	s e m u a
semuanya	s e m u a ny a
sendiri	s e n d i r i
senin	s e n i n
seperti	s e p e r t i
sepertinya	s e p e r t i ny a
seru	s e r u
sesuai	s e s u ai
setelah	s e t e l a h
siang	s i a ng
siap	s i a p
sih	s i h
silakan	s i l a k a n
singkat	s i ng k a t
sip	s i p
sketsanya	s k e t s a ny a
solusinya	s o l u s i ny a
suasana	s u a s a n a
subuhnya	s u b u h ny a
sudah	s u d a h
sukajadi	s u k a j a d i
supaya	s u p a y a
tahap	t a h a p
tangkap	t a ng k a p
tanya	t a ny a
tapi	t a p i
target	t a r g e t
targetnya	t a r g e t ny a
tau	t au
temen	t e m e n
tempat	t e m p a t
tentang	t e n t a ng
terakhir	t e r a kh i r
teratasi	t e r a t a s i
terbaru	t e r b a r u
terima	t e r i m a
terlalu	t e r l a l u
termudah	t e r m u d a h
tertangani	t e r t a ng a n i
test	t e s
testing	t e s t i ng
tetap	t e t a p
tinggal	t i ng g a l
tugas	t u g a s
tugasnya	t u g a s ny a
tuh	t u h
tujuh	t u j u h
udah	u d a h
umum	u m u m
untuk	u n t u k
utama	u t a m a
versi	v e r s i
wah	w a h
waktu	w a k t u
ya	y a
yaitu	y ai t u
yang	y a ng
